Detector,E_log,LogCounts,y_calibrated,ydy
# Detector n:            1   Engy_SV,1e-09,0.0,0.019509483035747698,0.0
# Detector n:            1   Engy_SV,1.0391223038351693e-09,0.0,0.0202727389587393,0.0
# Detector n:            1   Engy_SV,1.0797751623277097e-09,0.0,0.02106585521185417,0.0
# Detector n:            1   Engy_SV,1.1220184543019634e-09,0.0,0.021890000000000007,0.0
# Detector n:            1   Engy_SV,1.1659144011798318e-09,0.0,0.022746387230951865,0.0
# Detector n:            1   Engy_SV,1.2115276586285885e-09,0.0,0.023636278303353575,0.0
# Detector n:            1   Engy_SV,1.2589254117941673e-09,0.0,0.02456098396466999,0.0
# Detector n:            1   Engy_SV,1.3081774742601942e-09,0.0,0.02552186624182653,0.0
# Detector n:            1   Engy_SV,1.3593563908785256e-09,0.0,0.026520340447379814,0.0
# Detector n:            1   Engy_SV,1.4125375446227544e-09,0.0,0.027557877264174333,0.0
# Detector n:            1   Engy_SV,1.4677992676220697e-09,0.0,0.02863600491155566,0.0
# Detector n:            1   Engy_SV,1.525222956539019e-09,0.0,0.02975631139633094,0.0
# Detector n:            1   Engy_SV,1.5848931924611136e-09,0.0,0.030920446851792106,0.0
# Detector n:            1   Engy_SV,1.6468978654828686e-09,0.0,0.03213012596824712,0.0
# Detector n:            1   Engy_SV,1.711328304161781e-09,0.0,0.033387130518639146,0.0
# Detector n:            1   Engy_SV,1.7782794100389228e-09,0.0,0.03469331198297379,0.0
# Detector n:            1   Engy_SV,1.847849797422291e-09,0.0,0.03605059427542001,0.0
# Detector n:            1   Engy_SV,1.920141938638802e-09,0.0,0.0374609765781014,0.0
# Detector n:            1   Engy_SV,1.9952623149688795e-09,0.0,0.03892653628575203,0.0
# Detector n:            1   Engy_SV,2.073321573485955e-09,0.0,0.04044943206557396,0.0
# Detector n:            1   Engy_SV,2.154434690031884e-09,0.0,0.04203190703680339,0.0
# Detector n:            1   Engy_SV,2.2387211385683394e-09,0.0,0.04367629207466879,0.0
# Detector n:            1   Engy_SV,2.326305067153626e-09,0.0,0.045385009243607576,0.0
# Detector n:            1   Engy_SV,2.417315480804104e-09,0.0,0.04716057536479796,0.0
# Detector n:            1   Engy_SV,2.5118864315095803e-09,0.0,0.049005605723260987,0.0
# Detector n:            1   Engy_SV,2.610157215682537e-09,0.0,0.0509228179199929,0.0
# Detector n:            1   Engy_SV,2.712272579332028e-09,0.0,0.052915035874801855,0.0
# Detector n:            1   Engy_SV,2.818382931264454e-09,0.0,0.05498519398574474,0.0
# Detector n:            1   Engy_SV,2.9286445646252366e-09,0.0,0.057136341451290755,0.0
# Detector n:            1   Engy_SV,3.043219887107722e-09,0.0,0.05937164676157812,0.0
# Detector n:            1   Engy_SV,3.1622776601683795e-09,0.0,0.06169440236537892,0.0
# Detector n:            1   Engy_SV,3.285993247600655e-09,0.0,0.06410802951964646,0.0
# Detector n:            1   Engy_SV,3.4145488738336017e-09,0.0,0.06661608332878806,0.0
# Detector n:            1   Engy_SV,3.5481338923357554e-09,0.0,0.06922225798108587,0.0
# Detector n:            1   Engy_SV,3.6869450645195754e-09,0.0,0.07193039218997836,0.0
# Detector n:            1   Engy_SV,3.831186849557288e-09,0.0,0.07474447484821757,0.0
# Detector n:            1   Engy_SV,3.981071705534972e-09,0.0,0.07766865090322969,0.0
# Detector n:            1   Engy_SV,4.136820402388508e-09,0.0,0.08070722746233357,0.0
# Detector n:            1   Engy_SV,4.298662347082277e-09,0.0,0.08386468013680906,0.0
# Detector n:            1   Engy_SV,4.466835921509632e-09,0.0,0.0871456596341606,0.0
# Detector n:            1   Engy_SV,4.641588833612779e-09,0.0,0.09055499860828445,0.0
# Detector n:            1   Engy_SV,4.823178482239307e-09,0.0,0.09409771877763108,0.0
# Detector n:            1   Engy_SV,5.011872336272722e-09,0.0,0.09777903832184587,0.0
# Detector n:            1   Engy_SV,5.2079483285954645e-09,0.0,0.1016043795677838,0.0
# Detector n:            1   Engy_SV,5.411695265464637e-09,0.0,0.10557937697621846,0.0
# Detector n:            1   Engy_SV,5.623413251903492e-09,0.0,0.10970988544100996,0.0
# Detector n:            1   Engy_SV,5.843414133735177e-09,0.0,0.11400198891295477,0.0
# Detector n:            1   Engy_SV,6.072021956909886e-09,0.0,0.11846200936102094,0.0
# Detector n:            1   Engy_SV,6.309573444801934e-09,0.0,0.12309651608416748,0.0
# Detector n:            1   Engy_SV,6.556418494179789e-09,0.0,0.12791233538746305,0.0
# Detector n:            1   Engy_SV,6.812920690579614e-09,0.0,0.13291656063675747,0.0
# Detector n:            1   Engy_SV,7.079457843841379e-09,0.0,0.13811656270671438,0.0
# Detector n:            1   Engy_SV,7.356422544596414e-09,0.0,0.14352000083759564,0.0
# Detector n:            1   Engy_SV,7.644222742526002e-09,0.0,0.14913483391678778,0.0
# Detector n:            1   Engy_SV,7.943282347242817e-09,0.0,0.1549693322016879,0.0
# Detector n:            1   Engy_SV,8.254041852680184e-09,0.0,0.16103208950121553,0.0
# Detector n:            1   Engy_SV,8.576958985908942e-09,0.0,0.16733203583389428,0.0
# Detector n:            1   Engy_SV,8.912509381337455e-09,0.0,0.1738784505811453,0.0
# Detector n:            1   Engy_SV,9.261187281287935e-09,0.0,0.1806809761551693,0.0
# Detector n:            1   Engy_SV,9.623506263980886e-09,0.0,0.18774963220154678,0.0
# Detector n:            1   Engy_SV,1e-08,0.0,0.195094830357477,0.0
# Detector n:            1   Engy_SV,1.039122303835169e-08,0.0,0.20272738958739298,0.0
# Detector n:            1   Engy_SV,1.07977516232771e-08,0.0,0.21065855211854176,0.0
# Detector n:            1   Engy_SV,1.1220184543019637e-08,0.0,0.21890000000000012,0.0
# Detector n:            1   Engy_SV,1.1659144011798317e-08,0.0,0.22746387230951862,0.0
# Detector n:            1   Engy_SV,1.2115276586285883e-08,0.0,0.23636278303353572,0.0
# Detector n:            1   Engy_SV,1.2589254117941676e-08,0.0,0.2456098396467,0.0
# Detector n:            1   Engy_SV,1.3081774742601943e-08,0.0,0.2552186624182653,0.0
# Detector n:            1   Engy_SV,1.3593563908785256e-08,0.0,0.2652034044737981,0.0
# Detector n:            1   Engy_SV,1.412537544622754e-08,0.0,0.2755787726417433,0.0
# Detector n:            1   Engy_SV,1.46779926762207e-08,0.0,0.2863600491155567,0.0
# Detector n:            1   Engy_SV,1.525222956539019e-08,0.0,0.2975631139633094,0.0
# Detector n:            1   Engy_SV,1.5848931924611133e-08,0.0,0.309204468517921,0.0
# Detector n:            1   Engy_SV,1.6468978654828684e-08,0.0,0.32130125968247114,0.0
# Detector n:            1   Engy_SV,1.711328304161781e-08,0.0,0.3338713051863914,0.0
# Detector n:            1   Engy_SV,1.7782794100389228e-08,0.0,0.34693311982973785,0.0
# Detector n:            1   Engy_SV,1.847849797422291e-08,0.0,0.36050594275420006,0.0
# Detector n:            1   Engy_SV,1.9201419386388024e-08,0.0,0.3746097657810141,0.0
# Detector n:            1   Engy_SV,1.99526231496888e-08,0.0,0.3892653628575205,0.0
# Detector n:            1   Engy_SV,2.0733215734859554e-08,0.0,0.40449432065573976,0.0
# Detector n:            1   Engy_SV,2.1544346900318832e-08,0.0,0.42031907036803373,0.0
# Detector n:            1   Engy_SV,2.23872113856834e-08,0.0,0.436762920746688,0.0
# Detector n:            1   Engy_SV,2.3263050671536264e-08,0.0,0.4538500924360759,0.0
# Detector n:            1   Engy_SV,2.417315480804104e-08,0.0,0.4716057536479796,0.0
# Detector n:            1   Engy_SV,2.5118864315095798e-08,0.0,0.4900560572326097,0.0
# Detector n:            1   Engy_SV,2.6101572156825374e-08,0.0,0.5092281791999291,0.0
# Detector n:            1   Engy_SV,2.7122725793320284e-08,0.0,0.5291503587480186,0.0
# Detector n:            1   Engy_SV,2.8183829312644534e-08,0.0,0.5498519398574472,0.0
# Detector n:            1   Engy_SV,2.9286445646252358e-08,0.0,0.5713634145129074,0.0
# Detector n:            1   Engy_SV,3.043219887107722e-08,0.0,0.5937164676157813,0.0
